anime_id,anime_name,anime_link
3352,Tengen_Toppa_Gurren_Lagann__Mitee_Mono_wa_Miteen_da,https://myanimelist.net/anime/3352/Tengen_Toppa_Gurren_Lagann__Mitee_Mono_wa_Miteen_da
9917,Pokemon_Movie_14_White__Victini_to_Kuroki_Eiyuu_Zekrom,https://myanimelist.net/anime/9917/Pokemon_Movie_14_White__Victini_to_Kuroki_Eiyuu_Zekrom
16910,Namiuchigiwa_no_Muromi-san,https://myanimelist.net/anime/16910/Namiuchigiwa_no_Muromi-san
36397,Shiyan_Pin_Jiating,https://myanimelist.net/anime/36397/Shiyan_Pin_Jiating
1668,Bakuten_Shoot_Beyblade_G_Revolution,https://myanimelist.net/anime/1668/Bakuten_Shoot_Beyblade_G_Revolution
474,Macross_Plus,https://myanimelist.net/anime/474/Macross_Plus
12695,Tight-rope,https://myanimelist.net/anime/12695/Tight-rope
30355,WakabaGirl,https://myanimelist.net/anime/30355/WakabaGirl
173,Tactics,https://myanimelist.net/anime/173/Tactics
9332,hack__Quantum,https://myanimelist.net/anime/9332/hack__Quantum
36990,Non_Non_Biyori_Movie__Vacation,https://myanimelist.net/anime/36990/Non_Non_Biyori_Movie__Vacation
10536,Kimi_ni_Todoke_2nd_Season__Minitodo_Gekijou,https://myanimelist.net/anime/10536/Kimi_ni_Todoke_2nd_Season__Minitodo_Gekijou
3616,Kamen_no_Maid_Guy,https://myanimelist.net/anime/3616/Kamen_no_Maid_Guy
8038,Nodame_Cantabile__Finale_-_Mine_to_Kiyora_no_Saikai,https://myanimelist.net/anime/8038/Nodame_Cantabile__Finale_-_Mine_to_Kiyora_no_Saikai
32447,Nora_to_Oujo_to_Noraneko_Heart,https://myanimelist.net/anime/32447/Nora_to_Oujo_to_Noraneko_Heart
1505,Detective_Conan_Movie_09__Strategy_Above_the_Depths,https://myanimelist.net/anime/1505/Detective_Conan_Movie_09__Strategy_Above_the_Depths
5252,One_Piece__Romance_Dawn_Story,https://myanimelist.net/anime/5252/One_Piece__Romance_Dawn_Story
664,Fullmetal_Alchemist__Reflections,https://myanimelist.net/anime/664/Fullmetal_Alchemist__Reflections
5772,Akaneiro_ni_Somaru_Saka__Hardcore,https://myanimelist.net/anime/5772/Akaneiro_ni_Somaru_Saka__Hardcore
593,Mugen_no_Ryvius,https://myanimelist.net/anime/593/Mugen_no_Ryvius
33046,B-Project__KodouAmbitious,https://myanimelist.net/anime/33046/B-Project__KodouAmbitious
5984,Ristorante_Paradiso,https://myanimelist.net/anime/5984/Ristorante_Paradiso
42091,Shingeki_no_Kyojin__Chronicle,https://myanimelist.net/anime/42091/Shingeki_no_Kyojin__Chronicle
24855,Girlfriend_Kari,https://myanimelist.net/anime/24855/Girlfriend_Kari
879,Simoun,https://myanimelist.net/anime/879/Simoun
3464,Kemeko_Deluxe,https://myanimelist.net/anime/3464/Kemeko_Deluxe
37281,Joshiochi__2-kai_kara_Onnanoko_ga_Futtekita,https://myanimelist.net/anime/37281/Joshiochi__2-kai_kara_Onnanoko_ga_Futtekita
