anime_id,name,link
3389,Bus Gamer,https://myanimelist.net/anime/3389/Bus_Gamer
18713,Haiyore! Nyaruko-san: Yasashii Teki no Shitome-kata,https://myanimelist.net/anime/18713/Haiyore_Nyaruko-san__Yasashii_Teki_no_Shitome-kata
975,Yokohama Kaidashi Kikou,https://myanimelist.net/anime/975/Yokohama_Kaidashi_Kikou
1090,Mobile Suit Gundam I,https://myanimelist.net/anime/1090/Mobile_Suit_Gundam_I
32606,Onigiri,https://myanimelist.net/anime/32606/Onigiri
35252,Hatena☆Illusion,https://myanimelist.net/anime/35252/Hatena☆Illusion
10431,"Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru ""LIPS Eizou""",https://myanimelist.net/anime/10431/Baka_to_Test_to_Shoukanjuu__Matsuri_-_Sentaku_ni_Yotte_Tenkai_ga_Kawaru_LIPS_Eizou
175,Tokyo Underground,https://myanimelist.net/anime/175/Tokyo_Underground
8190,Nodame Cantabile: Finale OVA,https://myanimelist.net/anime/8190/Nodame_Cantabile__Finale_OVA
1055,Blame!,https://myanimelist.net/anime/1055/Blame
33280,Gochuumon wa Usagi Desu ka??: Dear My Sister,https://myanimelist.net/anime/33280/Gochuumon_wa_Usagi_Desu_ka__Dear_My_Sister
2161,Skull Man,https://myanimelist.net/anime/2161/Skull_Man
12281,Rinne no Lagrange Season 2,https://myanimelist.net/anime/12281/Rinne_no_Lagrange_Season_2
497,Yami to Boushi to Hon no Tabibito,https://myanimelist.net/anime/497/Yami_to_Boushi_to_Hon_no_Tabibito
5228,Initial D Extra Stage 2,https://myanimelist.net/anime/5228/Initial_D_Extra_Stage_2
14827,D.C.III: Da Capo III,https://myanimelist.net/anime/14827/DCIII__Da_Capo_III
1025,Kachou Ouji,https://myanimelist.net/anime/1025/Kachou_Ouji
11827,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,https://myanimelist.net/anime/11827/Kuroinu__Kedakaki_Seijo_wa_Hakudaku_ni_Somaru
2942,Sketchbook: Full Color's,https://myanimelist.net/anime/2942/Sketchbook__Full_Colors
38707,RobiHachi,https://myanimelist.net/anime/38707/RobiHachi
9347,Fortune Arterial: Akai Yakusoku - Tadoritsuita Basho,https://myanimelist.net/anime/9347/Fortune_Arterial__Akai_Yakusoku_-_Tadoritsuita_Basho
872,Mahou Shoujo-tai Arusu,https://myanimelist.net/anime/872/Mahou_Shoujo-tai_Arusu
37924,Ani ni Tsukeru Kusuri wa Nai! 2,https://myanimelist.net/anime/37924/Ani_ni_Tsukeru_Kusuri_wa_Nai_2
32212,Ensemble Stars!,https://myanimelist.net/anime/32212/Ensemble_Stars
1678,Cyborg 009: The Cyborg Soldier,https://myanimelist.net/anime/1678/Cyborg_009__The_Cyborg_Soldier
21435,Yama no Susume: Second Season,https://myanimelist.net/anime/21435/Yama_no_Susume__Second_Season
10197,Nyanpire The Animation,https://myanimelist.net/anime/10197/Nyanpire_The_Animation
9598,Haiyoru! Nyaruani: Remember My Love(craft-sensei),https://myanimelist.net/anime/9598/Haiyoru_Nyaruani__Remember_My_Lovecraft-sensei
2775,Genocyber,https://myanimelist.net/anime/2775/Genocyber
7728,Hellsing: Psalm of the Darkness,https://myanimelist.net/anime/7728/Hellsing__Psalm_of_the_Darkness
22759,Toaru Kagaku no Railgun S: Daiji na Koto wa Zenbu Sentou ni Osowatta,https://myanimelist.net/anime/22759/Toaru_Kagaku_no_Railgun_S__Daiji_na_Koto_wa_Zenbu_Sentou_ni_Osowatta
13429,Sakasama no Patema: Beginning of the Day,https://myanimelist.net/anime/13429/Sakasama_no_Patema__Beginning_of_the_Day
37087,Overlord: Ple Ple Pleiades 2,https://myanimelist.net/anime/37087/Overlord__Ple_Ple_Pleiades_2
36522,Ling Qi 2,https://myanimelist.net/anime/36522/Ling_Qi_2
204,Yumeria,https://myanimelist.net/anime/204/Yumeria
8410,Metal Fight Beyblade: Baku,https://myanimelist.net/anime/8410/Metal_Fight_Beyblade__Baku
23259,Gundam: G no Reconguista,https://myanimelist.net/anime/23259/Gundam__G_no_Reconguista
15359,Kyousou Giga (2012),https://myanimelist.net/anime/15359/Kyousou_Giga_2012
24641,Baku Ane: Otouto Shibocchau zo! The Animation,https://myanimelist.net/anime/24641/Baku_Ane__Otouto_Shibocchau_zo_The_Animation
3016,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,https://myanimelist.net/anime/3016/Ginga_Eiyuu_Densetsu__Arata_Naru_Tatakai_no_Overture
206,Lodoss-tou Senki: Eiyuu Kishi Den,https://myanimelist.net/anime/206/Lodoss-tou_Senki__Eiyuu_Kishi_Den
17643,Little Busters!: Sekai no Saitou wa Ore ga Mamoru!,https://myanimelist.net/anime/17643/Little_Busters__Sekai_no_Saitou_wa_Ore_ga_Mamoru
1003,Aa! Megami-sama! (TV) Specials,https://myanimelist.net/anime/1003/Aa_Megami-sama_TV_Specials
13377,Recorder to Randoseru Re♪,https://myanimelist.net/anime/13377/Recorder_to_Randoseru_Re♪
1230,Innocent Venus,https://myanimelist.net/anime/1230/Innocent_Venus
15883,Fantasista Doll,https://myanimelist.net/anime/15883/Fantasista_Doll
981,Ichigo 100% OVA,https://myanimelist.net/anime/981/Ichigo_100_OVA
694,Canvas 2: Niji-iro no Sketch,https://myanimelist.net/anime/694/Canvas_2__Niji-iro_no_Sketch
37027,Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,https://myanimelist.net/anime/37027/Love_Live_Sunshine_The_School_Idol_Movie__Over_the_Rainbow
40148,22/7,https://myanimelist.net/anime/40148/22_7
566,Tetsuwan Birdy,https://myanimelist.net/anime/566/Tetsuwan_Birdy
5251,Angel Densetsu,https://myanimelist.net/anime/5251/Angel_Densetsu
40748,Jujutsu Kaisen (TV),https://myanimelist.net/anime/40748/Jujutsu_Kaisen_TV
23987,Sarusuberi: Miss Hokusai,https://myanimelist.net/anime/23987/Sarusuberi__Miss_Hokusai
37869,BanG Dream! 2nd Season,https://myanimelist.net/anime/37869/BanG_Dream_2nd_Season
937,Appleseed,https://myanimelist.net/anime/937/Appleseed
6187,Nodame Cantabile OVA,https://myanimelist.net/anime/6187/Nodame_Cantabile_OVA
25567,DRAMAtical Murder: Data_xx_Transitory,https://myanimelist.net/anime/25567/DRAMAtical_Murder__Data_xx_Transitory
33244,Kiitarou Shounen no Youkai Enikki,https://myanimelist.net/anime/33244/Kiitarou_Shounen_no_Youkai_Enikki
34607,Lostorage Conflated WIXOSS,https://myanimelist.net/anime/34607/Lostorage_Conflated_WIXOSS
28479,Detective Conan Movie 19: The Hellfire Sunflowers,https://myanimelist.net/anime/28479/Detective_Conan_Movie_19__The_Hellfire_Sunflowers
1237,One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,https://myanimelist.net/anime/1237/One_Piece__Oounabara_ni_Hirake_Dekkai_Dekkai_Chichi_no_Yume
38002,Asobi Asobase Specials,https://myanimelist.net/anime/38002/Asobi_Asobase_Specials
1491,Ginga Tetsudou 999,https://myanimelist.net/anime/1491/Ginga_Tetsudou_999
6024,Chi's Sweet Home: Atarashii Ouchi,https://myanimelist.net/anime/6024/Chis_Sweet_Home__Atarashii_Ouchi
13863,Arve Rezzle: Kikaijikake no Yousei-tachi,https://myanimelist.net/anime/13863/Arve_Rezzle__Kikaijikake_no_Yousei-tachi
22359,Sanzoku no Musume Ronja,https://myanimelist.net/anime/22359/Sanzoku_no_Musume_Ronja
9322,HHH Triple Ecchi,https://myanimelist.net/anime/9322/HHH_Triple_Ecchi
35159,Kimi no Hikari: Asagao to Kase-san.,https://myanimelist.net/anime/35159/Kimi_no_Hikari__Asagao_to_Kase-san
3090,Aa! Megami-sama!: Tatakau Tsubasa,https://myanimelist.net/anime/3090/Aa_Megami-sama__Tatakau_Tsubasa
2520,Dragon Ball Specials,https://myanimelist.net/anime/2520/Dragon_Ball_Specials
38799,Koukaku Kidoutai: SAC_2045,https://myanimelist.net/anime/38799/Koukaku_Kidoutai__SAC_2045
788,Eiken: Eikenbu yori Ai wo Komete,https://myanimelist.net/anime/788/Eiken__Eikenbu_yori_Ai_wo_Komete
18039,Rescue Me!,https://myanimelist.net/anime/18039/Rescue_Me
785,Otaku no Video,https://myanimelist.net/anime/785/Otaku_no_Video
3574,Switch,https://myanimelist.net/anime/3574/Switch
31096,Hibike! Euphonium: Suisougaku-bu no Nichijou,https://myanimelist.net/anime/31096/Hibike_Euphonium__Suisougaku-bu_no_Nichijou
34904,Youjo Senki: Senkyou Houkoku,https://myanimelist.net/anime/34904/Youjo_Senki__Senkyou_Houkoku
37890,Oshi ga Budoukan Ittekuretara Shinu,https://myanimelist.net/anime/37890/Oshi_ga_Budoukan_Ittekuretara_Shinu
4094,Batman: Gotham Knight,https://myanimelist.net/anime/4094/Batman__Gotham_Knight
36308,Blade Runner: Black Out 2022,https://myanimelist.net/anime/36308/Blade_Runner__Black_Out_2022
33218,Kimi no Koe wo Todoketai,https://myanimelist.net/anime/33218/Kimi_no_Koe_wo_Todoketai
39689,Nande Koko ni Sensei ga!? Special,https://myanimelist.net/anime/39689/Nande_Koko_ni_Sensei_ga_Special
6875,Iron Man,https://myanimelist.net/anime/6875/Iron_Man
38020,Beatless Final Stage,https://myanimelist.net/anime/38020/Beatless_Final_Stage
2225,Alps no Shoujo Heidi,https://myanimelist.net/anime/2225/Alps_no_Shoujo_Heidi
21679,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA",https://myanimelist.net/anime/21679/Saikin_Imouto_no_Yousu_ga_Chotto_Okashiinda_ga_OVA
32051,One Piece: Adventure of Nebulandia,https://myanimelist.net/anime/32051/One_Piece__Adventure_of_Nebulandia
9890,Major: Message,https://myanimelist.net/anime/9890/Major__Message
1397,Macross 7,https://myanimelist.net/anime/1397/Macross_7
18499,Yozakura Quartet: Tsuki ni Naku,https://myanimelist.net/anime/18499/Yozakura_Quartet__Tsuki_ni_Naku
1096,Kidou Keisatsu Patlabor 2 the Movie,https://myanimelist.net/anime/1096/Kidou_Keisatsu_Patlabor_2_the_Movie
6151,Final Fantasy VII: On the Way to a Smile - Episode: Denzel,https://myanimelist.net/anime/6151/Final_Fantasy_VII__On_the_Way_to_a_Smile_-_Episode__Denzel
8197,So Ra No Wo To Specials,https://myanimelist.net/anime/8197/So_Ra_No_Wo_To_Specials
40102,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka? OVA,https://myanimelist.net/anime/40102/Tsuujou_Kougeki_ga_Zentai_Kougeki_de_Ni-kai_Kougeki_no_Okaasan_wa_Suki_Desu_ka_OVA
42603,Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,https://myanimelist.net/anime/42603/Boku_no_Hero_Academia__Ikinokore_Kesshi_no_Survival_Kunren
3086,Strait Jacket,https://myanimelist.net/anime/3086/Strait_Jacket
221,Mezzo Forte,https://myanimelist.net/anime/221/Mezzo_Forte
13349,Chouyaku Hyakuninisshu: Uta Koi.,https://myanimelist.net/anime/13349/Chouyaku_Hyakuninisshu__Uta_Koi
383,Galaxy Angel,https://myanimelist.net/anime/383/Galaxy_Angel
7222,Macross F Movie 2: Sayonara no Tsubasa,https://myanimelist.net/anime/7222/Macross_F_Movie_2__Sayonara_no_Tsubasa
764,Zoids Shinseiki/Zero,https://myanimelist.net/anime/764/Zoids_Shinseiki_Zero
1221,Demashita! Powerpuff Girls Z,https://myanimelist.net/anime/1221/Demashita_Powerpuff_Girls_Z
1516,Kirarin☆Revolution,https://myanimelist.net/anime/1516/Kirarin☆Revolution
1047,On Your Mark,https://myanimelist.net/anime/1047/On_Your_Mark
40934,Bungou to Alchemist: Shinpan no Haguruma,https://myanimelist.net/anime/40934/Bungou_to_Alchemist__Shinpan_no_Haguruma
31417,Binan Koukou Chikyuu Boueibu LOVE! LOVE!,https://myanimelist.net/anime/31417/Binan_Koukou_Chikyuu_Boueibu_LOVE_LOVE
1817,DearS: Kin no Tama Desu no?,https://myanimelist.net/anime/1817/DearS__Kin_no_Tama_Desu_no
1335,Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi,https://myanimelist.net/anime/1335/Koukaku_Kidoutai__Stand_Alone_Complex_-_Tachikoma_na_Hibi
1946,Ashita no Nadja,https://myanimelist.net/anime/1946/Ashita_no_Nadja
1588,Mamoru-kun ni Megami no Shukufuku wo!,https://myanimelist.net/anime/1588/Mamoru-kun_ni_Megami_no_Shukufuku_wo
2680,One Piece: Straw Hat Theater,https://myanimelist.net/anime/2680/One_Piece__Straw_Hat_Theater
260,Happy☆Lesson (TV),https://myanimelist.net/anime/260/Happy☆Lesson_TV
540,Tenchi Muyou! Ryououki 2nd Season,https://myanimelist.net/anime/540/Tenchi_Muyou_Ryououki_2nd_Season
998,Blue Seed,https://myanimelist.net/anime/998/Blue_Seed
12449,Maken-Ki! Specials,https://myanimelist.net/anime/12449/Maken-Ki_Specials
37490,"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! Season 2",https://myanimelist.net/anime/37490/Gyakuten_Saiban__Sono_Shinjitsu_Igi_Ari_Season_2
358,"Iriya no Sora, UFO no Natsu",https://myanimelist.net/anime/358/Iriya_no_Sora_UFO_no_Natsu
1862,Strike Witches OVA,https://myanimelist.net/anime/1862/Strike_Witches_OVA
6287,Akikan!: Kan Ippatsu!? Onsen Panic,https://myanimelist.net/anime/6287/Akikan__Kan_Ippatsu_Onsen_Panic
19115,Giovanni no Shima,https://myanimelist.net/anime/19115/Giovanni_no_Shima
12191,Smile Precure!,https://myanimelist.net/anime/12191/Smile_Precure
1238,One Piece: Mamore! Saigo no Dai Butai,https://myanimelist.net/anime/1238/One_Piece__Mamore_Saigo_no_Dai_Butai
37711,Koi to Uso OVA,https://myanimelist.net/anime/37711/Koi_to_Uso_OVA
3221,Shakugan no Shana-tan Movie,https://myanimelist.net/anime/3221/Shakugan_no_Shana-tan_Movie
10350,Hakuouki Sekkaroku,https://myanimelist.net/anime/10350/Hakuouki_Sekkaroku
2772,Juushin Enbu: Hero Tales,https://myanimelist.net/anime/2772/Juushin_Enbu__Hero_Tales
1362,Street Fighter II Movie,https://myanimelist.net/anime/1362/Street_Fighter_II_Movie
25345,Rance 01: Hikari wo Motomete The Animation,https://myanimelist.net/anime/25345/Rance_01__Hikari_wo_Motomete_The_Animation
38529,Rifle Is Beautiful,https://myanimelist.net/anime/38529/Rifle_Is_Beautiful
7062,Hidamari Sketch x ☆☆☆,https://myanimelist.net/anime/7062/Hidamari_Sketch_x_☆☆☆
15895,Hiyokoi (2012),https://myanimelist.net/anime/15895/Hiyokoi_2012
32792,Mobile Suit Gundam Unicorn RE:0096,https://myanimelist.net/anime/32792/Mobile_Suit_Gundam_Unicorn_RE_0096
33041,Bubuki Buranki: Hoshi no Kyojin,https://myanimelist.net/anime/33041/Bubuki_Buranki__Hoshi_no_Kyojin
7645,Heartcatch Precure!,https://myanimelist.net/anime/7645/Heartcatch_Precure
23201,Sengoku Basara: Judge End,https://myanimelist.net/anime/23201/Sengoku_Basara__Judge_End
5116,Candy Boy Episode: EX01 - Mirai Yohouzu,https://myanimelist.net/anime/5116/Candy_Boy_Episode__EX01_-_Mirai_Yohouzu
28215,Saint Seiya: Soul of Gold,https://myanimelist.net/anime/28215/Saint_Seiya__Soul_of_Gold
37232,Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo,https://myanimelist.net/anime/37232/Merc_Storia__Mukiryoku_no_Shounen_to_Bin_no_Naka_no_Shoujo
12017,Tiger & Bunny Movie 2: The Rising,https://myanimelist.net/anime/12017/Tiger___Bunny_Movie_2__The_Rising
2608,Wangan Midnight,https://myanimelist.net/anime/2608/Wangan_Midnight
3363,RD Sennou Chousashitsu,https://myanimelist.net/anime/3363/RD_Sennou_Chousashitsu
21821,Fuuun Ishin Dai☆Shogun,https://myanimelist.net/anime/21821/Fuuun_Ishin_Dai☆Shogun
37555,Hangyakusei Million Arthur,https://myanimelist.net/anime/37555/Hangyakusei_Million_Arthur
1288,Kidou Keisatsu Patlabor,https://myanimelist.net/anime/1288/Kidou_Keisatsu_Patlabor
651,Green Green Thirteen: Erolutions,https://myanimelist.net/anime/651/Green_Green_Thirteen__Erolutions
13117,Hakuouki Movie 1: Kyoto Ranbu,https://myanimelist.net/anime/13117/Hakuouki_Movie_1__Kyoto_Ranbu
1838,Mitsu x Mitsu Drops,https://myanimelist.net/anime/1838/Mitsu_x_Mitsu_Drops
20971,Kiniro no Corda: Blue♪Sky,https://myanimelist.net/anime/20971/Kiniro_no_Corda__Blue♪Sky
590,Kage kara Mamoru!,https://myanimelist.net/anime/590/Kage_kara_Mamoru
1527,Pokemon: Senritsu no Mirage Pokemon,https://myanimelist.net/anime/1527/Pokemon__Senritsu_no_Mirage_Pokemon
34834,Hina Logi: From Luck & Logic,https://myanimelist.net/anime/34834/Hina_Logi__From_Luck___Logic
36267,Uchuu Senkan Tiramisù,https://myanimelist.net/anime/36267/Uchuu_Senkan_Tiramisù
32038,Show By Rock!! #,https://myanimelist.net/anime/32038/Show_By_Rock_
37807,Princess Principal: Crown Handler 1,https://myanimelist.net/anime/37807/Princess_Principal__Crown_Handler_1
5454,Yoku Wakaru Gendai Mahou,https://myanimelist.net/anime/5454/Yoku_Wakaru_Gendai_Mahou
811,I''s Pure,https://myanimelist.net/anime/811/Is_Pure
2363,Pokemon Housoukyoku,https://myanimelist.net/anime/2363/Pokemon_Housoukyoku
