anime_id,user_id,rating
1535,531821,9
1535,398677,10
1535,50923,5
1535,866073,8
1535,571925,10
1535,452718,8
1535,39629,9
1535,168211,9
1535,236763,10
1535,15795,10
1535,328873,8
1535,457309,10
1535,643637,9
1535,375968,10
1535,260776,8
1535,670048,10
1535,90448,7
1535,301491,9
1535,732002,10
1535,336723,10
1535,500746,9
1535,524715,9
1535,787298,10
1535,604918,10
1535,560598,9
1535,602580,9
1535,494127,10
1535,467440,8
1535,190682,10
1535,118840,8
1535,611307,8
1535,840713,10
1535,84484,9
1535,283975,8
1535,19919,10
1535,259250,9
1535,524216,8
1535,577823,9
1535,866128,8
1535,671849,9
1535,431583,8
1535,844516,8
1535,522349,4
1535,306873,10
1535,83931,7
1535,439884,8
1535,541567,10
1535,140963,7
1535,678725,8
1535,817410,6
1535,526922,10
1535,707235,10
1535,1002,9
1535,330742,10
1535,48565,10
1535,341994,10
1535,761361,8
1535,350348,7
1535,816847,10
1535,568287,10
1535,805236,9
1535,678841,9
1535,833964,10
1535,465881,9
1535,560789,7
1535,535428,9
1535,799237,10
1535,245440,9
1535,355733,8
1535,130520,8
1535,513294,8
1535,450894,9
1535,315546,7
1535,676796,10
1535,259454,8
1535,852414,10
1535,371262,9
1535,69047,9
1535,326484,8
1535,236467,8
1535,127301,9
1535,517353,9
1535,139597,9
1535,347215,8
1535,672330,8
1535,293920,8
1535,302813,10
1535,369224,9
1535,192869,10
1535,589770,9
1535,33941,8
1535,276678,7
1535,332604,6
1535,107860,9
1535,580495,6
1535,379316,8
1535,551695,9
1535,102884,8
1535,204024,10
1535,854861,9
1535,155159,8
1535,262667,9
1535,340409,10
1535,517913,7
1535,523562,9
1535,719391,6
1535,137597,7
1535,8168,8
1535,454552,8
1535,32114,9
1535,552168,9
1535,530455,8
1535,323835,8
1535,64837,10
1535,478716,8
1535,126102,10
1535,623901,8
1535,70518,10
1535,752978,10
1535,276540,9
1535,262495,8
1535,476637,10
1535,681606,8
1535,626008,10
1535,279041,8
1535,574734,9
1535,709025,9
1535,163422,8
1535,455039,9
1535,556747,8
1535,271221,10
1535,511243,7
1535,341261,10
1535,211832,10
1535,187635,10
1535,7959,7
1535,315023,8
1535,691643,9
1535,81237,8
1535,788364,9
1535,726769,10
1535,280690,9
1535,264682,9
1535,460880,8
1535,480663,9
1535,426441,9
1535,531777,10
1535,536780,10
1535,368883,8
1535,347300,7
1535,543692,10
1535,52091,9
1535,465312,9
1535,337280,10
1535,321486,10
1535,167390,10
1535,709537,9
1535,570195,8
1535,555974,10
1535,115627,8
1535,788463,8
1535,469861,10
1535,222180,9
1535,211970,9
1535,164346,9
1535,304496,10
1535,462123,10
1535,403122,8
1535,201722,8
1535,523539,9
1535,627824,9
1535,508982,10
1535,292365,9
1535,325236,10
1535,476430,10
1535,301205,9
1535,193408,7
1535,582266,8
1535,310139,8
1535,372786,10
1535,571020,8
1535,361684,10
1535,79295,9
1535,150716,9
1535,452356,9
1535,26946,9
1535,208656,10
1535,780470,7
1535,52669,8
1535,664727,7
1535,562701,8
1535,871153,8
1535,282918,8
1535,338816,4
1535,732918,9
1535,318322,9
1535,386864,8
1535,801327,7
1535,688198,8
1535,134172,10
1535,479169,10
1535,666838,10
1535,779033,8
1535,90186,10
1535,671363,7
1535,136951,10
1535,508264,9
1535,791901,9
1535,79341,6
1535,295053,8
1535,749597,10
1535,360998,9
1535,130778,10
1535,851811,8
1535,426819,9
1535,867096,7
1535,276167,9
1535,519544,7
1535,58197,6
1535,581963,10
1535,626116,8
1535,129449,10
1535,327973,8
1535,596122,9
1535,309219,8
1535,710254,9
1535,185406,8
1535,508903,10
1535,739127,9
1535,530401,10
1535,645361,9
1535,536512,9
1535,42664,6
1535,715510,8
1535,91107,9
1535,362822,10
1535,56434,9
1535,341463,8
1535,613998,10
1535,279008,9
1535,597755,9
1535,422323,10
1535,557071,9
1535,327954,8
1535,538161,9
1535,406192,9
1535,587249,9
1535,397169,10
1535,135667,10
1535,410484,10
1535,116525,8
1535,763421,7
1535,289846,7
1535,274059,9
1535,210689,7
1535,434000,10
1535,531901,10
1535,226742,9
1535,454924,7
1535,854183,9
1535,266587,9
1535,269479,7
1535,643788,10
1535,127288,9
1535,182665,9
1535,581812,8
1535,477301,9
1535,129727,8
1535,559446,8
1535,550454,9
1535,207983,10
1535,656091,8
1535,234339,8
1535,166316,6
1535,643634,10
1535,842842,9
1535,204679,10
1535,48574,10
1535,695210,8
1535,241398,9
1535,187633,10
1535,76339,9
1535,807786,10
1535,446790,9
1535,535582,9
1535,117985,6
1535,454492,10
1535,550642,10
1535,754624,7
1535,762638,6
1535,456105,3
1535,482110,7
1535,208781,10
1535,486119,10
1535,231672,9
1535,330904,9
1535,605688,10
1535,542097,9
1535,444737,7
1535,469030,9
1535,214270,9
1535,110812,9
1535,160130,8
1535,175864,9
1535,667441,7
1535,119973,10
1535,609498,9
1535,63905,8
1535,153557,9
1535,192670,10
1535,351438,8
1535,264458,4
1535,561870,10
1535,743698,6
1535,9546,8
1535,531128,8
1535,712120,8
1535,842079,8
1535,280572,8
1535,164004,5
1535,105715,9
1535,332096,10
1535,741870,9
1535,68747,8
1535,131205,9
1535,212228,9
1535,503024,7
1535,628175,6
1535,340497,10
1535,637787,9
1535,772133,5
1535,653528,10
1535,692267,9
1535,339194,9
1535,614120,6
1535,94989,10
1535,460415,8
1535,500819,10
1535,130137,10
1535,679568,8
1535,215976,8
1535,777906,10
1535,522985,10
1535,828005,10
1535,773937,9
1535,149347,8
1535,844358,10
1535,495157,10
1535,758257,9
1535,572009,7
1535,36441,8
1535,511775,9
1535,3373,10
1535,709772,8
1535,548913,9
1535,614492,8
1535,573639,9
1535,575721,8
1535,68086,8
1535,817394,8
1535,307021,8
1535,431202,7
1535,46727,9
1535,221246,7
1535,474946,8
1535,273560,7
1535,43711,9
1535,124448,8
1535,49726,7
1535,81983,8
1535,11745,8
1535,158164,10
1535,685062,10
1535,166374,8
1535,236325,8
1535,611975,8
1535,407751,10
1535,624640,10
1535,562231,8
1535,396808,8
1535,68666,9
1535,303089,8
1535,14976,10
1535,715082,10
1535,289872,8
1535,253968,7
1535,750503,10
1535,730651,9
1535,553245,9
1535,122122,8
1535,529990,8
1535,320419,10
1535,693901,7
1535,287260,8
1535,643588,8
1535,448089,10
1535,434050,8
1535,82863,9
1535,522554,10
1535,279616,9
1535,384506,9
1535,803615,10
1535,775125,10
1535,630667,9
1535,603145,9
1535,211209,10
1535,345419,10
1535,513014,9
1535,502172,7
1535,249249,8
1535,181252,10
1535,481,7
1535,459544,8
1535,649917,9
1535,215808,10
1535,769914,7
1535,12072,10
1535,32865,10
1535,463146,8
1535,248814,9
1535,185153,8
1535,658500,10
1535,985,9
1535,223479,9
1535,145979,9
1535,2107,9
1535,788158,9
1535,44191,7
1535,521294,9
1535,119645,8
1535,835373,8
1535,436721,9
1535,12808,6
1535,261876,9
1535,570582,10
1535,483007,9
1535,426606,10
1535,127525,8
1535,274856,10
1535,437575,10
1535,740980,8
1535,548082,10
1535,513493,10
1535,146353,10
1535,644889,10
1535,493957,10
1535,212361,8
1535,249900,8
1535,872662,8
1535,452104,6
1535,373888,8
1535,443961,8
1535,516940,8
1535,545555,10
1535,402213,6
1535,730368,8
1535,33582,10
1535,360598,10
1535,551462,9
1535,518108,4
1535,756040,9
1535,752972,10
1535,94267,7
1535,21942,9
1535,277011,8
1535,681546,9
1535,584361,8
1535,45586,8
1535,126589,10
1535,365203,8
1535,103790,8
1535,251792,8
1535,331627,6
1535,272999,10
1535,351810,10
1535,467177,8
1535,617762,7
1535,695107,8
1535,459345,7
1535,580169,8
1535,769314,8
1535,297722,10
1535,373322,8
1535,685930,8
1535,271054,8
1535,494959,10
1535,386236,8
1535,151088,9
1535,357081,8
1535,796909,8
1535,750702,9
1535,267622,7
1535,856662,8
1535,360953,8
1535,543440,9
1535,321669,9
1535,341508,10
1535,92651,7
1535,180361,8
1535,158778,9
1535,626003,9
1535,623469,8
1535,446673,9
1535,863898,8
1535,334331,8
1535,720052,10
1535,388413,9
1535,467175,6
1535,258931,10
1535,77844,9
1535,174061,10
1535,235637,9
1535,820532,9
1535,217429,9
1535,279236,8
1535,449325,8
1535,660332,8
1535,254440,7
1535,688234,10
1535,629191,10
1535,64119,10
1535,817493,10
1535,710537,8
1535,362912,10
1535,787518,9
1535,85129,10
1535,307037,10
1535,287642,9
1535,181543,9
1535,85212,8
1535,827696,10
1535,871336,8
1535,428171,9
1535,861429,9
1535,758669,8
1535,229099,10
1535,374618,6
1535,566588,8
1535,452823,9
1535,354904,7
1535,663457,8
1535,99950,9
1535,244700,10
1535,132962,9
1535,210431,10
1535,637975,6
1535,109868,7
1535,73946,9
1535,444349,9
1535,573593,10
1535,344598,6
1535,533627,8
1535,717601,10
1535,716870,8
1535,41104,8
1535,105772,7
1535,765783,6
1535,554490,5
1535,443012,10
1535,838423,7
1535,458526,9
1535,261452,10
1535,668386,10
1535,161466,9
1535,296677,7
1535,801618,7
1535,367380,8
1535,637992,8
1535,601494,10
1535,754985,6
1535,253528,9
1535,138498,10
1535,486731,9
1535,854768,7
1535,229792,7
1535,2674,10
1535,870180,9
1535,127861,8
1535,640602,10
1535,561842,9
1535,325338,8
1535,450074,10
1535,538376,9
1535,374070,9
1535,746392,8
1535,203558,9
1535,14393,8
1535,705474,9
1535,11502,9
1535,38335,10
1535,360406,9
1535,132414,6
1535,230774,8
1535,526673,4
1535,248101,10
1535,489406,9
1535,43166,9
1535,597753,8
1535,133273,9
1535,256153,7
1535,697869,9
1535,310410,10
1535,83692,5
1535,468603,9
1535,592285,8
1535,828821,10
1535,83077,7
1535,651681,9
1535,527583,8
1535,597158,8
1535,238900,7
1535,156461,8
1535,657962,9
1535,625220,9
1535,319953,9
1535,167347,6
1535,138695,9
1535,43952,7
1535,639373,9
1535,588769,9
1535,398391,9
1535,206462,7
1535,396371,9
1535,71993,6
1535,665629,8
1535,89476,7
1535,860003,6
1535,749679,10
1535,567840,9
1535,248989,7
1535,60672,10
1535,362215,7
1535,143230,10
1535,789773,9
1535,564583,9
1535,3274,9
1535,348090,10
1535,839012,9
1535,466105,9
1535,579080,10
1535,383417,8
1535,52821,9
1535,637358,10
1535,626548,8
1535,293075,10
1535,641629,10
1535,266519,9
1535,172144,10
1535,642603,10
1535,22660,6
1535,7943,7
1535,562667,10
1535,163671,10
1535,830509,9
1535,159331,6
1535,201349,8
1535,852495,8
1535,572,9
1535,795794,6
1535,126952,10
1535,429870,10
1535,154881,8
1535,680618,7
1535,57155,8
1535,771856,8
1535,176236,9
1535,766638,9
1535,383178,7
1535,607147,10
1535,408441,10
1535,799727,10
1535,439472,8
1535,387651,9
1535,671557,9
1535,477721,9
1535,422005,10
1535,125175,8
1535,439889,10
1535,74528,8
1535,557931,9
1535,361888,10
1535,455940,7
1535,715845,10
1535,583730,9
1535,602382,6
1535,440620,10
1535,310229,9
1535,470686,7
1535,251207,10
1535,508437,8
1535,730518,10
1535,780756,9
1535,662120,10
1535,211275,9
1535,720913,9
1535,655519,9
1535,155995,9
1535,663377,9
1535,287575,8
1535,52218,9
1535,220444,7
1535,360426,9
1535,489776,9
1535,644463,10
1535,623040,9
1535,803759,8
1535,56389,8
1535,649895,10
1535,26522,9
1535,149510,7
1535,21933,8
1535,715802,1
1535,316972,9
1535,871746,7
1535,767612,9
1535,220733,9
1535,95784,9
1535,789369,9
1535,411882,7
1535,454615,7
1535,260036,8
1535,637459,9
1535,50430,8
1535,514568,8
1535,823474,10
1535,513012,9
1535,342500,10
1535,66821,7
1535,29105,8
1535,570104,6
1535,303696,9
1535,571665,9
1535,844838,7
1535,690498,10
1535,546435,9
1535,519782,9
1535,395867,9
1535,661853,8
1535,788031,9
1535,188285,9
1535,503288,7
1535,37874,9
1535,87001,8
1535,13279,9
1535,495085,8
1535,477655,8
1535,162415,7
1535,763161,9
1535,563185,8
1535,340350,10
1535,99385,10
1535,561584,8
1535,251760,10
1535,158664,8
1535,349914,8
1535,58338,8
1535,710915,8
1535,810543,1
1535,402375,9
1535,64659,9
1535,638093,10
1535,229094,10
1535,39537,10
1535,47839,10
1535,112066,9
1535,833517,7
1535,531610,10
1535,373391,9
1535,189655,10
1535,760838,8
1535,170570,7
1535,871659,9
1535,652250,9
1535,152382,10
1535,246585,8
1535,108656,9
1535,133117,9
1535,521334,7
1535,700484,8
1535,794014,7
1535,487679,9
1535,436381,9
1535,744173,10
1535,394845,10
1535,706480,8
1535,510054,7
1535,745139,9
1535,285276,10
1535,744649,10
1535,457232,10
1535,447082,8
1535,687635,10
1535,852801,9
1535,788004,9
1535,340030,9
1535,724639,10
1535,270959,5
1535,247762,10
1535,846927,9
1535,68166,6
1535,27752,8
1535,357784,5
1535,548653,10
1535,135277,9
1535,774494,7
1535,212304,9
1535,411564,8
1535,774180,8
1535,775258,9
1535,769752,10
1535,579074,6
1535,341515,9
1535,609848,10
1535,252998,8
1535,815834,10
1535,564684,8
1535,640081,10
1535,396505,9
1535,130675,10
1535,433293,9
1535,825932,6
1535,292167,9
1535,475545,8
1535,619483,10
1535,68628,9
1535,396512,9
1535,310241,7
1535,296980,10
1535,149059,9
1535,647712,8
1535,798081,8
1535,446327,9
1535,276110,10
1535,442111,10
1535,144709,10
1535,384440,9
1535,286616,8
1535,379087,9
1535,74759,8
1535,317667,6
1535,216362,10
1535,597271,8
1535,801270,4
1535,206596,7
1535,203004,10
1535,432720,10
1535,204243,7
1535,792426,10
1535,598655,10
1535,73694,8
1535,365685,9
1535,820804,8
1535,40465,7
1535,446515,9
1535,280045,8
1535,388152,10
1535,225866,9
1535,107283,10
1535,371362,8
1535,182288,10
1535,257645,9
1535,809173,5
1535,512360,9
1535,142240,8
1535,18073,10
1535,155393,8
1535,548825,8
1535,292535,10
1535,47067,5
1535,654452,8
1535,423124,6
1535,554463,10
1535,708465,8
1535,40642,8
1535,312045,9
1535,621862,8
1535,731436,7
1535,721257,9
1535,142594,7
1535,342734,10
1535,739109,10
1535,565340,8
1535,765022,8
1535,870188,9
1535,222468,7
1535,637539,7
1535,604490,9
1535,514475,6
1535,599259,8
1535,845837,8
1535,205189,10
1535,172302,6
1535,64145,9
1535,425551,9
1535,660680,10
1535,366504,10
1535,129558,8
1535,14123,9
1535,508601,7
1535,867150,10
1535,586680,7
1535,336650,8
1535,498163,9
1535,202530,6
1535,591631,10
1535,845632,9
1535,244406,9
1535,701062,5
1535,400938,8
1535,836022,10
1535,332509,8
1535,92388,10
1535,48852,5
1535,185,10
1535,96529,8
1535,62417,10
1535,832426,10
1535,338357,9
1535,661041,10
1535,35919,9
1535,350888,10
1535,333308,9
1535,764822,8
1535,84294,8
1535,238151,10
1535,621483,8
1535,81650,10
1535,285182,9
1535,810910,7
1535,81050,10
1535,119333,10
1535,334558,10
1535,458307,8
1535,519767,8
1535,389814,4
1535,731603,10
16498,576105,10
16498,210430,8
16498,108686,7
16498,272504,10
16498,747392,10
16498,585434,6
16498,440352,10
16498,10255,8
16498,260776,8
16498,201722,7
16498,488628,8
16498,36648,7
16498,336027,10
16498,398677,9
16498,458267,8
16498,863855,10
16498,695027,10
16498,50923,6
16498,168211,10
16498,403085,9
16498,15795,9
16498,497643,5
16498,350909,10
16498,678135,8
16498,316482,9
16498,728693,7
16498,531821,9
16498,106152,8
16498,281114,8
16498,104743,10
16498,840816,8
16498,239322,10
16498,29376,10
16498,818562,5
16498,864067,10
16498,166707,9
16498,524715,7
16498,530090,9
16498,233584,7
16498,61644,8
16498,630339,9
16498,818562,5
16498,864067,10
16498,166707,9
16498,524715,7
16498,530090,9
16498,233584,7
16498,61644,8
16498,630339,9
16498,708820,9
16498,296391,10
16498,85576,8
16498,151342,9
16498,671849,7
16498,118840,8
16498,796158,8
16498,835716,9
16498,720707,9
16498,682553,9
16498,815834,9
16498,177673,10
16498,190385,8
16498,699781,9
16498,179001,10
16498,795432,9
16498,649537,5
16498,866128,9
16498,768771,9
16498,366408,6
16498,494127,9
16498,113565,8
16498,306873,10
16498,81730,9
16498,319668,9
16498,526922,10
16498,439884,9
16498,439884,9
16498,430444,10
16498,140963,10
16498,822990,10
16498,761361,8
16498,231771,7
16498,330742,10
16498,833964,9
16498,300291,8
16498,1002,10
16498,223176,10
16498,611951,9
16498,868704,10
16498,678841,8
16498,341994,10
16498,559600,9
16498,554376,10
16498,799237,10
16498,560789,9
16498,683883,8
16498,187635,9
16498,355733,7
16498,259454,9
16498,692370,10
16498,315546,9
16498,240925,9
16498,852414,10
16498,849993,8
16498,190627,9
16498,543495,9
16498,127301,8
16498,517353,8
16498,620174,10
16498,365451,9
16498,568788,9
16498,347215,10
16498,62904,7
